
 system.sum(listens_album) | year | artist
---------------------------+------+-------------------------------------------------------------------
                      3024 | 2015 |                                                        ((Bohrer))
                     21784 | 2015 |                                                               (-)
                     58416 | 2015 |                                                             -ono-
                      2732 | 2015 |                                           101 Kaba Gaidi New York
                     40072 | 2015 |                                                      16-PARAL-LEL
                     25173 | 2015 |                                                      17-PARAL-LEL
                     30301 | 2015 |                                                               3K3
                     81404 | 2015 |                                                               505
                     33328 | 2015 |                                                               555
                      9022 | 2015 |                                                    75 Dollar Bill
                     25173 | 2015 | 876 Trio plus _ Magliocchi Van Schouwburg and Boss plus Del Piano
                     30778 | 2015 |                                                         A.H. Fork
                     34854 | 2015 |                                     A.n.K.h -- vs Milho-Sculpture
                     82634 | 2015 |                                                               ADJ
                     93530 | 2015 |                                                          AG Davis
                      2599 | 2015 |                                         AG Davis & Jaan Patterson
                     15058 | 2015 |                                         AG Davis & The Boy + Girl
                      3354 | 2015 |                                           AG Davis & The Boy+Girl
                     56496 | 2015 |                                       AG Davis and Jaan Patterson
                     40072 | 2015 |                                      AG Davis and The BoyplusGirl
                     40072 | 2015 |                                             AG Davis and {AN} EeL
                     22475 | 2015 |                                                       ALEN ILIJIĆ
                     13223 | 2015 |                                                             ANGKA
                     40072 | 2015 |                                         ASTMA feat. Sandra Lester
                     60549 | 2015 |                                                                AT
                     13602 | 2015 |                                                      Abinadi Meza
                      6256 | 2015 |                                                   Ace & the Gulls
                     34854 | 2015 |                                                          Adam LWO
                      2983 | 2015 |                                                Adeptus Mechanicus
                     24693 | 2015 |                                                   Adrian Beentjes
                     24693 | 2015 |                                                      Adrian Belew
                     19409 | 2015 |                                                      Adriano Orru
                     98535 | 2015 |                                                         Aerologic
                     82634 | 2015 |                                                         Afrikence
                     24693 | 2015 |                                          Agnieszka Cie Nienawidzi
                      5954 | 2015 |                                                         Air Waves
                      4073 | 2015 |                                                           Akousma
                      5551 | 2015 |                                                           Akpatok
                      6663 | 2015 |                                                     Alas de Mosca
                     43977 | 2015 |                                                   Alasdair Cooper
                      9948 | 2015 |                                                   Albin Andersson
                      3894 | 2015 |                                                          Aldaraia
                     16424 | 2015 |                              Alessandra Celletti & Jaan Patterson
                     19409 | 2015 |                                     Alessandro Coronas-Laura Mura
                     82634 | 2015 |                                                Alessio Bargiacchi
                      9917 | 2015 |                                                      Alex Kubotha
                     20720 | 2015 |                                                        Alex Mason
                     25173 | 2015 |                                Alexei Borisov and Sergei Kostyrko
                     11316 | 2015 |                                                          All Dogs
                     19924 | 2015 |                                                      Alpha Brutal
                     82634 | 2015 |                                                    Altered:Carbon
                     34854 | 2015 |                                                    Alveola Ämting
                     40072 | 2015 |                                                    Ambient Fabric
                     10424 | 2015 |                                                        Ana Bogner
                      8132 | 2015 |                                                       Anal Sadist
                      2791 | 2015 |                                                    Andreas Woiger
                     33151 | 2015 |                                                      Andrew Howes
                     24693 | 2015 |                                          Andrew Kirejev and ASTMA
                      5366 | 2015 |                                                   Andrew Seistrup
                     17387 | 2015 |                                                     Andrew Walton
                       714 | 2015 |                                                       Andrij Orel
                     34854 | 2015 |                                                        Androvirus
